elevation,geology,landuse,rainfall,slope,soil_clay,.geo
1316,1,50,4.29325008392334,2.290045738220215,28,"{""type"":""Point"",""coordinates"":[85.30872498870389,27.70293076357063]}"
1440,2,50,4.618951320648193,14.396309852600098,22,"{""type"":""Point"",""coordinates"":[85.33071610520508,27.7906174201563]}"
1437,2,40,4.123847007751465,5.225557804107666,24,"{""type"":""Point"",""coordinates"":[85.45033933580014,27.74892167057916]}"
1397,2,10,2.6722123622894287,23.5900821685791,28,"{""type"":""Point"",""coordinates"":[85.55382727550028,27.641142445655035]}"
1596,3,10,4.695466041564941,18.96098518371582,24,"{""type"":""Point"",""coordinates"":[85.48240246826722,27.850355369048224]}"
1754,4,10,4.618951320648193,26.879913330078125,25,"{""type"":""Point"",""coordinates"":[85.34008755839083,27.791510483745835]}"
1120,1,10,4.588297367095947,17.25233268737793,26,"{""type"":""Point"",""coordinates"":[85.57374375361357,27.704594153314996]}"
1310,1,10,4.29325008392334,7.451250076293945,24,"{""type"":""Point"",""coordinates"":[85.306656697385,27.725397594130765]}"
1926,4,10,4.736819744110107,13.168062210083008,28,"{""type"":""Point"",""coordinates"":[85.46700084297446,27.757416772131577]}"
1814,4,60,4.891516208648682,30.851863861083984,25,"{""type"":""Point"",""coordinates"":[85.4894649659576,27.840293505057403]}"
2339,4,10,4.850409507751465,12.924201011657717,23,"{""type"":""Point"",""coordinates"":[85.41448741959941,27.808029637178716]}"
480,1,40,3.583014726638794,17.3505802154541,25,"{""type"":""Point"",""coordinates"":[85.11834950229172,27.856967623214583]}"
1625,3,10,4.123847007751465,18.28465843200684,26,"{""type"":""Point"",""coordinates"":[85.47876322416214,27.733121696794775]}"
1811,4,10,4.684384346008301,20.399702072143555,23,"{""type"":""Point"",""coordinates"":[85.41119552752777,27.794116231670948]}"
1907,4,10,4.05521297454834,49.663719177246094,26,"{""type"":""Point"",""coordinates"":[85.16645949821554,27.81115439638828]}"
1518,3,30,4.1896796226501465,8.161368370056152,23,"{""type"":""Point"",""coordinates"":[85.21777568730091,27.68485255987121]}"
1717,4,10,4.186050415039063,30.21827507019043,26,"{""type"":""Point"",""coordinates"":[85.25918232527142,27.734989443124718]}"
1171,1,10,4.78480863571167,18.879533767700195,27,"{""type"":""Point"",""coordinates"":[85.19332816264838,27.75874950845904]}"
1320,1,40,3.75677752494812,9.006449699401855,24,"{""type"":""Point"",""coordinates"":[85.28442148426862,27.664491477249936]}"
1282,1,10,4.05521297454834,36.16364669799805,25,"{""type"":""Point"",""coordinates"":[85.19642873853643,27.84458855328966]}"
1751,4,10,4.49566125869751,14.293046951293944,25,"{""type"":""Point"",""coordinates"":[85.35487401177387,27.892287899284018]}"
613,1,30,4.045770645141602,18.351030349731445,27,"{""type"":""Point"",""coordinates"":[85.23725669472726,27.887442185837067]}"
1934,4,10,3.9062464237213135,10.334967613220217,25,"{""type"":""Point"",""coordinates"":[85.54509585657267,27.683049079480995]}"
1687,4,40,5.143680095672607,7.790595531463623,28,"{""type"":""Point"",""coordinates"":[85.1692442138781,27.63585988980516]}"
2186,4,10,4.29292631149292,30.72145652770996,24,"{""type"":""Point"",""coordinates"":[85.29071397483716,27.811003496171942]}"
1174,1,10,4.501944541931152,15.649490356445312,24,"{""type"":""Point"",""coordinates"":[85.25037335702258,27.779835018502506]}"
1811,4,10,4.123847007751465,25.43655776977539,26,"{""type"":""Point"",""coordinates"":[85.49476852701707,27.745539193943806]}"
1707,4,10,2.6722123622894287,14.543534278869627,27,"{""type"":""Point"",""coordinates"":[85.56809826302289,27.610741469276345]}"
855,1,10,4.246232509613037,21.09837532043457,23,"{""type"":""Point"",""coordinates"":[85.21613433487634,27.849883611928536]}"
1534,3,10,3.744175434112549,32.688140869140625,26,"{""type"":""Point"",""coordinates"":[85.37952132176204,27.627123255086957]}"
562,1,40,3.583014726638794,5.547305583953857,37,"{""type"":""Point"",""coordinates"":[85.1415825038946,27.880273929232715]}"
1252,1,10,4.18858814239502,17.65447425842285,23,"{""type"":""Point"",""coordinates"":[85.5434693862488,27.737359014726874]}"
1693,4,40,5.143680095672607,8.516075134277344,28,"{""type"":""Point"",""coordinates"":[85.15199368747079,27.64826609537786]}"
1372,2,40,3.246016025543213,11.505010604858398,28,"{""type"":""Point"",""coordinates"":[85.30602551336425,27.611508556680768]}"
1220,1,10,5.165729999542236,32.13857650756836,24,"{""type"":""Point"",""coordinates"":[85.52045062449231,27.86286402730593]}"
